FloorName RoomNo Start End
Floor_1 Room_1 08:15 10:00
Floor_1 Room_1 10:15 11:30
Floor_1 Room_1 12:00 13:30
Floor_1 Room_1 13:40 15:10
Floor_1 Room_1 15:30 17:00
Floor_1 Room_1 17:20 18:50
Floor_1 Room_1 19:00 20:30
Floor_1 Room_2 07:30 08:45
Floor_1 Room_2 09:30 10:45
Floor_1 Room_2 11:00 12:15
Floor_1 Room_2 14:30 15:45
Floor_1 Room_2 16:00 17:30
Floor_1 Room_2 18:15 19:30
Floor_1 Room_2 19:40 20:55
Floor_1 Room_3 07:45 08:45
Floor_1 Room_3 11:15 12:15
Floor_1 Room_3 14:45 15:45
Floor_1 Room_3 17:00 18:00
Floor_1 Room_3 18:15 19:15
Floor_1 Room_3 19:40 20:40
Floor_2 Room_4 08:00 10:00
Floor_2 Room_4 10:10 12:10
Floor_2 Room_4 12:25 14:25
Floor_2 Room_4 14:30 16:30
Floor_2 Room_4 16:40 18:40
Floor_2 Room_4 18:45 20:45
Floor_2 Room_5 09:00 10:45
Floor_2 Room_5 11:10 12:55
Floor_2 Room_5 13:20 15:05
Floor_2 Room_5 15:30 17:15
Floor_2 Room_5 17:40 19:25
Floor_2 Room_6 07:35 09:05
Floor_2 Room_6 09:40 11:10
Floor_2 Room_6 11:50 13:20
Floor_2 Room_6 14:00 15:30
Floor_2 Room_6 16:10 17:40
Floor_3 Room_4 09:15 11:15
Floor_3 Room_4 11:30 13:35
Floor_3 Room_4 14:00 16:05
Floor_3 Room_4 16:30 18:35
Floor_3 Room_4 18:50 20:55
Floor_3 Room_5 10:50 12:50
Floor_3 Room_5 13:15 15:15
Floor_3 Room_5 15:40 17:40
Floor_3 Room_5 18:00 20:00
Floor_3 Room_2 08:15 10:00
Floor_3 Room_2 10:45 12:30
Floor_3 Room_2 13:15 15:00
Floor_3 Room_2 15:45 17:30
Floor_3 Room_2 18:15 20:00
Floor_4 Room_1 09:45 11:30
Floor_4 Room_1 11:50 13:35
Floor_4 Room_1 14:15 16:00
Floor_4 Room_1 16:30 18:15
Floor_4 Room_1 18:55 20:40
Floor_4 Room_7 09:00 10:15
Floor_4 Room_7 11:15 12:30
Floor_4 Room_7 13:30 14:45
Floor_4 Room_7 15:45 17:15
Floor_4 Room_7 18:05 19:20
Floor_4 Room_3 09:15 10:15
Floor_4 Room_3 11:30 12:45
Floor_4 Room_3 13:45 14:45
Floor_4 Room_3 16:00 17:10
Floor_4 Room_3 18:20 19:20
