FloorName RoomNo Start End
Floor_1 Room_1 09:30 11:00
Floor_1 Room_1 12:00 13:45
Floor_1 Room_1 14:00 15:30
Floor_1 Room_2 09:00 10:30
Floor_1 Room_2 11:30 13:00
Floor_1 Room_2 14:15 15:45
Floor_1 Room_3 10:30 12:00
Floor_1 Room_3 13:00 14:30
Floor_1 Room_3 15:10 16:30
Floor_1 Room_4 09:30 11:10
Floor_1 Room_4 12:00 13:30
Floor_1 Room_4 14:00 15:30
Floor_2 Room_1 09:00 10:30
Floor_2 Room_1 12:15 13:30
Floor_2 Room_1 14:00 15:30
Floor_2 Room_2 10:30 12:15
Floor_2 Room_2 13:00 14:30
Floor_2 Room_2 15:00 16:30
Floor_2 Room_3 09:00 10:45
Floor_2 Room_3 12:00 13:30
Floor_2 Room_3 14:15 15:30
Floor_2 Room_4 10:30 12:00
Floor_2 Room_4 13:15 14:45
Floor_2 Room_4 15:00 16:30
Floor_3 Room_1 09:30 11:15
Floor_3 Room_1 12:00 13:30
Floor_3 Room_1 14:00 15:30
Floor_3 Room_2 10:30 12:00
Floor_3 Room_2 13:15 14:30
Floor_3 Room_2 15:00 16:30
Floor_3 Room_3 09:15 10:45
Floor_3 Room_3 12:00 13:30
Floor_3 Room_3 14:00 15:45
Floor_3 Room_4 10:30 12:00
Floor_3 Room_4 13:00 14:15
Floor_3 Room_4 15:00 16:45
